[TOUCHLOG] t=18438ms line line_after=low raw=[16, 0e, 0e, d7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18489ms line line_after=low raw=[16, 0e, 0e, c8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18531ms line line_after=high raw=[16, 0e, 0e, c8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18550ms line line_after=high raw=[16, 0e, 0e, c8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18598ms line line_after=low raw=[16, 0e, 0e, c8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18618ms line line_after=low raw=[16, 0e, 0e, c8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18640ms line line_after=low raw=[16, 0e, 0e, b8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18691ms line line_after=high raw=[16, 0e, 0e, b8, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18758ms line line_after=low raw=[16, 0e, 0e, 99, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18788ms line line_after=low raw=[16, 0e, 0e, 99, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18859ms line line_after=low raw=[16, 0e, 0e, 99, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18889ms line line_after=low raw=[16, 0e, 0e, 8a, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18963ms line line_after=high raw=[16, 0e, 0e, 8a, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18989ms line line_after=low raw=[16, 0e, 0e, 8a, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19019ms line line_after=low raw=[16, 0e, 0e, 8a, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19042ms line line_after=high raw=[16, 0e, 0e, 8b, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19067ms line line_after=low raw=[16, 0e, 0e, 8b, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19090ms line line_after=low raw=[16, 0e, 0e, 8d, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19120ms line line_after=low raw=[16, 0e, 0e, 8e, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19192ms poll line_after=high raw=[10, 1b, 0d, 34, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=19258ms poll line_after=high raw=[ab, 1b, 0d, 34, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=23314ms line line_after=low raw=[06, 12, 13, cc, 00, 02, ab, 16, 06, 07, ea, 0d, ab, 00, 00] parsed=Points([TouchPoint { x: 165, y: 149 }, TouchPoint { x: 355, y: 343 }])
[TOUCHLOG] t=23343ms line line_after=low raw=[06, 0d, 10, 52, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=23373ms line line_after=low raw=[06, 0d, 0f, 2c, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23412ms line line_after=low raw=[06, 0c, 0f, f9, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23424ms line line_after=low raw=[06, 0c, 0f, f9, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23446ms line line_after=low raw=[06, 0c, 0f, bb, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23519ms line line_after=high raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23545ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23579ms line line_after=high raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23625ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23660ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23675ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23697ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23724ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23729ms line line_after=low raw=[ab, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=23762ms line line_after=low raw=[06, 0c, 0f, 6d, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
